class_folder,folder_code,item_id,sku,name,category,mapping_method,folder_code_matches_sku,photo_count,exact_unique_count,exact_duplicate_files,readable_count,format_mismatch_count,min_width,min_height,quality_flags,train,validation,test,object_detection_annotations,training_use,manual_visual_review
E002_Arduino Nano,E002,item-e002,E002,Arduino Nano,Electronics & Robotics,image_reference,True,29,25,4,29,0,608,608,low_resolution:9,22,3,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E003_Motor Shield,E003,item-e003,E003,Motor Shield,Electronics & Robotics,image_reference,True,22,22,0,22,0,608,608,low_resolution:8,18,2,2,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E004_Breadboard,E004,item-e004,E004,Breadboard,Electronics & Robotics,image_reference,True,22,19,3,22,0,608,608,low_resolution:9,13,4,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E005_Gas Sensor MQ6,E005,item-e005,E005,Gas Detector MQ6,Electronics & Robotics,image_reference,True,22,18,4,22,0,608,1080,low_resolution:6,20,1,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E006_NodeMCU,E006,item-e006,E006,NodeMCU,Electronics & Robotics,image_reference,True,22,20,2,22,0,608,1080,low_resolution:12,14,6,2,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E007_HC-SR04 Ultrasonic Sensor,E007,item-e007,E007,HC-SR04 Ultrasonic Sensor,Electronics & Robotics,image_reference,True,21,17,4,21,0,608,1080,low_resolution:7,11,3,7,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E008_N20 Mini Micro Metal Gear,E008,item-e008,E008,N20 Mini Micro Metal Gear,Electronics & Robotics,image_reference,True,25,22,3,25,0,608,608,low_resolution:10,16,4,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E009_DC Motor 3V,E009,item-e009,E009,DC Motor 3V,Electronics & Robotics,image_reference,True,22,18,4,22,0,608,1080,low_resolution:9,19,1,2,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E010_N20 Micro Metal Gear Motor,E010,item-e010,E010,N20 Micro Metal Gear Motor,Electronics & Robotics,image_reference,True,10,7,3,10,0,3213,5712,,6,3,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E011_DHT11 Temperature and humidity,E011,item-e011,E011,DHT11 Temperature and humidity sensor,Electronics & Robotics,image_reference,True,34,28,6,34,0,608,1080,low_resolution:10,23,6,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E012_Infrared (IR) Proximity Sensor module,E012,item-e012,E012,Infrared (IR) Proximity Sensor module,Electronics & Robotics,image_reference,True,28,25,3,28,0,608,608,low_resolution:15,16,4,8,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E013_Sound Sensor,E013,item-e013,E013,Sound Sensor,Electronics & Robotics,image_reference,True,25,20,5,25,0,608,1080,low_resolution:7,17,5,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E014_Lilypad Coin Cell Battery Holder,E014,item-e014,E014,LilyPad coin cell battery holder,Electronics & Robotics,image_reference,True,28,24,4,28,0,608,1080,low_resolution:14,15,8,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E015_Micro_bit,E015,item-e015,E015,Micro:bit,Electronics & Robotics,image_reference,True,21,21,0,21,0,608,1080,low_resolution:8,16,1,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E016_CR2032 battery holder,E016,item-e016,E016,CR2032 battery holder,Electronics & Robotics,image_reference,True,16,13,3,16,0,608,1080,low_resolution:4,9,6,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E017_RC522 RFID Card Reader,E017,item-e017,E017,RC522 RFID Card Reader,Electronics & Robotics,image_reference,True,25,21,4,25,0,608,1080,low_resolution:9,16,4,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E018_LED Red,E018,item-e018,E018,LED Red,Electronics & Robotics,image_reference,True,22,18,4,22,0,608,1080,low_resolution:8,18,2,2,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E019_LED Blue,E019,item-e019,E019,LED Blue,Electronics & Robotics,image_reference,True,20,20,0,20,0,608,1080,low_resolution:7,13,3,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E020_MAX30102 Heart Rate and Pulse Oximetry Sensor,E020,item-e020,E020,MAX30102 heart rate and Pulse oximeter Sensor,Electronics & Robotics,image_reference,True,23,20,3,23,0,608,1080,low_resolution:11,19,2,2,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
